Group 18, TypeD,   5.000, 5, 0, UTaX_CT_HV1, 210, UTaX_1CT_S1, 206
Group 19, TypeC,   5.001, 5, 1, UTaX_CT_HV2, 190, UTaX_1CT_M1, 183
Group 20, TypeB,   5.002, 5, 2, UTaX_CT_HV3, 260, UTaX_1CT_S2, 250
Group 21, TypeB,   5.003, 5, 3, UTaX_CT_HV4, 230, UTaX_2CT_M1, 225
Group 22, TypeB,   5.004, 5, 4, UTaX_CT_HV5, 240, UTaX_2CT_S1, 239
Group 23, TypeA,   5.005, 5, 5, UTaX_CT_HV6, 230, UTaX_3CT_M1, 222
Group 24, TypeA,   5.006, 5, 6, UTaX_CT_HV7, 230, UTaX_4CT_M1, 227, UTaX_5CT_M1, 229
Group 25, TypeA,   5.007, 5, 7, UTaX_CT_HV8, 240, UTaX_6CT_M1, 227, UTaX_7CT_M1, 221, UTaX_8CT_M1, 298,    ....Vgroup updated!! , 220.789, 226.64, 298.494
Group 26, TypeA,   5.008, 5, 8, UTaX_CT_HV9, 230, UTaX_1CT_M2, 229, UTaX_2CT_M2, 220
Group 27, TypeA,   5.009, 5, 9, UTaX_CT_HV10, 230, UTaX_3CT_S1, 228
Group 28, TypeA,   5.010, 5, 10, UTaX_CT_HV11, 240, UTaX_3CT_M2, 227, UTaX_4CT_M2, 229, UTaX_4CT_S1, 225, UTaX_4CT_S2, 231, UTaX_5CT_S1, 226
Group 29, TypeA,   5.011, 5, 11, UTaX_CT_HV12, 240, UTaX_5CT_M2, 231, UTaX_6CT_M2, 233, UTaX_6CT_S1, 239, UTaX_7CT_S1, 223
Group 30, TypeA,   4.006, 4, 6, UTaX_CT_HV13, 250, UTaX_7CT_M2, 217, UTaX_7CT_S2, 230, UTaX_8CT_M2, 290, UTaX_8CT_S1, 229,    ....Vgroup updated!! , 217.206, 230.413, 289.542
Group 31, TypeA,   4.007, 4, 7, UTaX_CT_HV14, 230, UTaX_1CT_M3, 222, UTaX_1CT_S3, 216, UTaX_2CT_S2, 226
Group 32, TypeA,   4.008, 4, 8, UTaX_CT_HV15, 240, UTaX_2CT_M3, 203, UTaX_3CT_M3, 228, UTaX_3CT_S2, 229, UTaX_4CT_M3, 230, UTaX_4CT_S3, 234, UTaX_5CT_S2, 227
Group 33, TypeA,   4.009, 4, 9, UTaX_CT_HV16, 250, UTaX_5CT_M3, 225, UTaX_6CT_M3, 231, UTaX_6CT_S2, 243, UTaX_7CT_M3, 219, UTaX_7CT_S3, 231, UTaX_8CT_M3, 228, UTaX_8CT_S2, 227
Group 34, TypeA,   4.010, 4, 10, UTaX_CT_HV17, 240, UTaX_1CT_M4, 225, UTaX_1CT_S4, 225, UTaX_2CT_M4, 237, UTaX_2CT_S3, 233, UTaX_3CT_M4, 224, UTaX_3CT_S3, 231, UTaX_4CT_M4, 226
Group 35, TypeA,   4.011, 4, 11, UTaX_CT_HV18, 240, UTaX_5CT_M4, 228, UTaX_5CT_S3, 226, UTaX_6CT_M4, 214, UTaX_6CT_S3, 236, UTaX_7CT_M4, 230, UTaX_8CT_M4, 225, UTaX_8CT_S3, 233
Group 36, TypeD,  11.000, 11, 0, UTaX_CB_HV1, 210, UTaX_1CB_S1, 209
Group 37, TypeC,  11.001, 11, 1, UTaX_CB_HV2, 190, UTaX_1CB_M1, 186
Group 38, TypeB,  11.002, 11, 2, UTaX_CB_HV3, 260, UTaX_1CB_S2, 258
Group 39, TypeB,  11.003, 11, 3, UTaX_CB_HV4, 260, UTaX_2CB_M1, 256
Group 40, TypeB,  11.004, 11, 4, UTaX_CB_HV5, 240, UTaX_2CB_S1, 232
Group 41, TypeA,  11.005, 11, 5, UTaX_CB_HV6, 250, UTaX_3CB_M1,   0
Group 42, TypeA,  11.006, 11, 6, UTaX_CB_HV7, 230, UTaX_4CB_M1, 225, UTaX_5CB_M1, 226
Group 43, TypeA,  11.007, 11, 7, UTaX_CB_HV8, 240, UTaX_6CB_M1, 227, UTaX_7CB_M1, 232, UTaX_8CB_M1,   0
Group 44, TypeA,  11.008, 11, 8, UTaX_CB_HV9, 250, UTaX_1CB_M2, 218, UTaX_2CB_M2, 244
