board,  ch,  id, Steve-C-side Date-Time D2025-04-28_T07-24-48 v1.0
5,  0,  5.000, 210,  
5,  1,  5.001, 190,  
5,  2,  5.002, 260,  
5,  3,  5.003, 230,  
5,  4,  5.004, 240,  
5,  5,  5.005, 230,  
5,  6,  5.006, 230,  
5,  7,  5.007, 240,  
5,  8,  5.008, 230,  
5,  9,  5.009, 230,  
5,  10,  5.010, 240,  
5,  11,  5.011, 240,  
4,  6,  4.006, 250,  
4,  7,  4.007, 230,  
4,  8,  4.008, 240,  
4,  9,  4.009, 250,  
4,  10,  4.010, 240,  
4,  11,  4.011, 240,  
11,  0, 11.000, 210,  
11,  1, 11.001, 190,  
11,  2, 11.002, 260,  
11,  3, 11.003, 260,  
11,  4, 11.004, 240,  
11,  5, 11.005, 250,  No bias can be determined -- HV set to default value
11,  6, 11.006, 230,  
11,  7, 11.007, 240,  
11,  8, 11.008, 250,  
11,  9, 11.009, 230,  
11,  10, 11.010, 240,  
11,  11, 11.011, 240,  
10,  6, 10.006, 290,  
10,  7, 10.007, 230,  
10,  8, 10.008, 240,  
10,  9, 10.009, 250,  
10,  10, 10.010, 240,  
10,  11, 10.011, 250,  
3,  0,  3.000, 200,  
3,  1,  3.001, 190,  
3,  2,  3.002, 260,  
3,  3,  3.003, 260,  
3,  4,  3.004, 270,  
3,  5,  3.005, 230,  
3,  6,  3.006, 240,  
3,  7,  3.007, 290,  
3,  8,  3.008, 230,  
3,  9,  3.009, 230,  
3,  10,  3.010, 240,  
3,  11,  3.011, 240,  
4,  0,  4.000, 290,  
4,  1,  4.001, 230,  
4,  2,  4.002, 240,  
4,  3,  4.003, 240,  
4,  4,  4.004, 240,  
4,  5,  4.005, 280,  
9,  0,  9.000, 210,  
9,  1,  9.001, 190,  
9,  2,  9.002, 260,  
9,  3,  9.003, 270,  
9,  4,  9.004, 280,  
9,  5,  9.005, 230,  
9,  6,  9.006, 230,  
9,  7,  9.007, 230,  
9,  8,  9.008, 240,  
9,  9,  9.009, 220,  
9,  10,  9.010, 240,  
9,  11,  9.011, 230,  
10,  0, 10.000, 240,  
10,  1, 10.001, 220,  
10,  2, 10.002, 240,  
10,  3, 10.003, 240,  
10,  4, 10.004, 250,  
10,  5, 10.005, 250,  
2,  0,  2.000, 220,  
2,  1,  2.001, 190,  
2,  2,  2.002, 250,  
2,  3,  2.003, 250,  
2,  4,  2.004, 270,  
2,  5,  2.005, 220,  
2,  6,  2.006, 230,  
2,  7,  2.007, 240,  
2,  8,  2.008, 240,  
2,  9,  2.009, 230,  
2,  10,  2.010, 240,  
2,  11,  2.011, 240,  
1,  6,  1.006, 240,  
1,  7,  1.007, 240,  
1,  8,  1.008, 240,  
1,  9,  1.009, 250,  
1,  10,  1.010, 240,  
1,  11,  1.011, 240,  
8,  0,  8.000, 190,  
8,  1,  8.001, 200,  
8,  2,  8.002, 250,  
8,  3,  8.003, 250,  
8,  4,  8.004, 270,  
8,  5,  8.005, 230,  
8,  6,  8.006, 240,  
8,  7,  8.007, 250,  
8,  8,  8.008, 230,  
8,  9,  8.009, 250,  
8,  10,  8.010, 240,  
8,  11,  8.011, 240,  
7,  6,  7.006, 290,  
7,  7,  7.007, 240,  
7,  8,  7.008, 240,  
7,  9,  7.009, 250,  
7,  10,  7.010, 250,  
7,  11,  7.011, 250,  
0,  0,  0.000, 200,  
0,  1,  0.001, 190,  
0,  2,  0.002, 240,  
0,  3,  0.003, 250,  
0,  4,  0.004, 260,  
0,  5,  0.005, 230,  
0,  6,  0.006, 220,  
0,  7,  0.007, 220,  
0,  8,  0.008, 260,  
0,  9,  0.009, 230,  
0,  10,  0.010, 240,  
0,  11,  0.011, 230,  
1,  0,  1.000, 240,  
1,  1,  1.001, 240,  
1,  2,  1.002, 280,  
1,  3,  1.003, 290,  
1,  4,  1.004, 250,  
1,  5,  1.005, 250,  
6,  0,  6.000, 220,  
6,  1,  6.001, 190,  
6,  2,  6.002, 230,  
6,  3,  6.003, 250,  
6,  4,  6.004, 270,  
6,  5,  6.005, 230,  
6,  6,  6.006, 230,  
6,  7,  6.007, 280,  
6,  8,  6.008, 230,  
6,  9,  6.009, 220,  
6,  10,  6.010, 240,  
6,  11,  6.011, 240,  
7,  0,  7.000, 250,  
7,  1,  7.001, 220,  
7,  2,  7.002, 240,  
7,  3,  7.003, 250,  
7,  4,  7.004, 240,  
7,  5,  7.005, 300,  
