Group 0, TypeD,   5.000, 5, 0, UTaX_AT_HV1, 210, UTaX_1AT_S1, 209
Group 1, TypeC,   5.001, 5, 1, UTaX_AT_HV2, 200, UTaX_1AT_M1, 194
Group 2, TypeB,   5.002, 5, 2, UTaX_AT_HV3, 260, UTaX_1AT_S2, 258
Group 3, TypeB,   5.003, 5, 3, UTaX_AT_HV4, 260, UTaX_2AT_M1, 255
Group 4, TypeB,   5.004, 5, 4, UTaX_AT_HV5, 260, UTaX_2AT_S1, 258
Group 5, TypeA,   5.005, 5, 5, UTaX_AT_HV6, 230, UTaX_3AT_M1, 225
Group 6, TypeA,   5.006, 5, 6, UTaX_AT_HV7, 240, UTaX_4AT_M1, 228, UTaX_5AT_M1, 231
Group 7, TypeA,   5.007, 5, 7, UTaX_AT_HV8, 240, UTaX_6AT_M1, 239, UTaX_7AT_M1, 221, UTaX_8AT_M1,   0
Group 8, TypeA,   5.008, 5, 8, UTaX_AT_HV9, 230, UTaX_1AT_M2, 223, UTaX_2AT_M2, 218
Group 9, TypeA,   5.009, 5, 9, UTaX_AT_HV10, 230, UTaX_3AT_S1, 225
Group 10, TypeA,   5.010, 5, 10, UTaX_AT_HV11, 240, UTaX_3AT_M2, 224, UTaX_4AT_M2, 234, UTaX_4AT_S1, 228, UTaX_4AT_S2, 239, UTaX_5AT_S1, 231
Group 11, TypeA,   5.011, 5, 11, UTaX_AT_HV12, 240, UTaX_5AT_M2, 224, UTaX_6AT_M2, 234, UTaX_6AT_S1, 233, UTaX_7AT_S1, 228
Group 12, TypeA,   4.006, 4, 6, UTaX_AT_HV13, 230, UTaX_7AT_M2, 221, UTaX_7AT_S2, 230, UTaX_8AT_M2,   0, UTaX_8AT_S1, 230
Group 13, TypeA,   4.007, 4, 7, UTaX_AT_HV14, 230, UTaX_1AT_M3, 223, UTaX_1AT_S3, 222, UTaX_2AT_S2, 221
Group 14, TypeA,   4.008, 4, 8, UTaX_AT_HV15, 230, UTaX_2AT_M3, 205, UTaX_3AT_M3, 226, UTaX_3AT_S2, 229, UTaX_4AT_M3, 229, UTaX_4AT_S3, 228, UTaX_5AT_S2, 229
Group 15, TypeA,   4.009, 4, 9, UTaX_AT_HV16, 290, UTaX_5AT_M3, 279, UTaX_6AT_M3, 226, UTaX_6AT_S2, 229, UTaX_7AT_M3, 224, UTaX_7AT_S3, 217, UTaX_8AT_M3, 213, UTaX_8AT_S2, 296,    ....Vgroup updated!! , 212.599, 278.625, 296.142
Group 16, TypeA,   4.010, 4, 10, UTaX_AT_HV17, 250, UTaX_1AT_M4, 230, UTaX_1AT_S4, 304, UTaX_2AT_M4, 222, UTaX_2AT_S3, 216, UTaX_3AT_M4, 234, UTaX_3AT_S3, 223, UTaX_4AT_M4, 236,    ....Vgroup updated!! , 216.226, 236.278, 304.384
Group 17, TypeA,   4.011, 4, 11, UTaX_AT_HV18, 290, UTaX_5AT_M4, 219, UTaX_5AT_S3, 286, UTaX_6AT_M4, 255, UTaX_6AT_S3, 224, UTaX_7AT_M4, 217, UTaX_8AT_M4,   0, UTaX_8AT_S3, 281
Group 18, TypeD,   5.000, 5, 0, UTaX_CT_HV1, 210, UTaX_1CT_S1, 206
Group 19, TypeC,   5.001, 5, 1, UTaX_CT_HV2, 190, UTaX_1CT_M1, 183
Group 20, TypeB,   5.002, 5, 2, UTaX_CT_HV3, 260, UTaX_1CT_S2, 250
