HV group: 0 UTaX_CB_HV17 SenID(s)=  496 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AT_S1 
HV group: 1 UTaX_CB_HV14 SenID(s)=  488 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AT_M1 
HV group: 2 UTaX_CB_HV3 SenID(s)=  497 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AT_S2 
HV group: 3 UTaX_CB_HV1 SenID(s)=  503 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_2AT_M1 
HV group: 4 UTaX_CT_HV2 SenID(s)=  511 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_2AT_S1 
HV group: 5 UTaX_CT_HV9 SenID(s)=  517 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_3AT_M1 
HV group: 6 UTaX_CT_HV14 SenID(s)=  531 545 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_4AT_M1 UTaX_5AT_M1 
HV group: 7 UTaX_CT_HV17 SenID(s)=  559 573 587 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_6AT_M1 UTaX_7AT_M1 UTaX_8AT_M1 
HV group: 8 UTaX_CB_HV17 SenID(s)=  489 504 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AT_M2 UTaX_2AT_M2 
HV group: 9 UTaX_CB_HV14 SenID(s)=  525 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_3AT_S1 
HV group: 10 UTaX_CB_HV9 SenID(s)=  518 532 539 540 553 -1 -1 -1 -1  SenName(s)=  UTaX_3AT_M2 UTaX_4AT_M2 UTaX_4AT_S1 UTaX_4AT_S2 UTaX_5AT_S1 
HV group: 11 UTaX_CB_HV2 SenID(s)=  546 560 567 581 -1 -1 -1 -1 -1  SenName(s)=  UTaX_5AT_M2 UTaX_6AT_M2 UTaX_6AT_S1 UTaX_7AT_S1 
HV group: 12 UTaX_CT_HV1 SenID(s)=  574 582 588 595 -1 -1 -1 -1 -1  SenName(s)=  UTaX_7AT_M2 UTaX_7AT_S2 UTaX_8AT_M2 UTaX_8AT_S1 
HV group: 13 UTaX_CT_HV3 SenID(s)=  490 498 512 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1AT_M3 UTaX_1AT_S3 UTaX_2AT_S2 
HV group: 14 UTaX_CT_HV14 SenID(s)=  505 519 526 533 541 554 -1 -1 -1  SenName(s)=  UTaX_2AT_M3 UTaX_3AT_M3 UTaX_3AT_S2 UTaX_4AT_M3 UTaX_4AT_S3 UTaX_5AT_S2 
HV group: 15 UTaX_CT_HV17 SenID(s)=  547 561 568 575 583 589 596 -1 -1  SenName(s)=  UTaX_5AT_M3 UTaX_6AT_M3 UTaX_6AT_S2 UTaX_7AT_M3 UTaX_7AT_S3 UTaX_8AT_M3 UTaX_8AT_S2 
HV group: 16 UTaX_CB_HV17 SenID(s)=  491 499 506 513 520 527 534 -1 -1  SenName(s)=  UTaX_1AT_M4 UTaX_1AT_S4 UTaX_2AT_M4 UTaX_2AT_S3 UTaX_3AT_M4 UTaX_3AT_S3 UTaX_4AT_M4 
HV group: 17 UTaX_CB_HV14 SenID(s)=  548 555 562 569 576 590 597 -1 -1  SenName(s)=  UTaX_5AT_M4 UTaX_5AT_S3 UTaX_6AT_M4 UTaX_6AT_S3 UTaX_7AT_M4 UTaX_8AT_M4 UTaX_8AT_S3 
HV group: 18 UTaX_CB_HV5 SenID(s)=  12 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CT_S1 
HV group: 19 UTaX_CT_HV4 SenID(s)=  4 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CT_M1 
HV group: 20 UTaX_CT_HV9 SenID(s)=  13 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CT_S2 
HV group: 21 UTaX_CT_HV15 SenID(s)=  19 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_2CT_M1 
HV group: 22 UTaX_CT_HV17 SenID(s)=  27 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_2CT_S1 
HV group: 23 UTaX_CB_HV17 SenID(s)=  33 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_3CT_M1 
HV group: 24 UTaX_CB_HV15 SenID(s)=  47 61 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_4CT_M1 UTaX_5CT_M1 
HV group: 25 UTaX_CB_HV9 SenID(s)=  75 89 103 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_6CT_M1 UTaX_7CT_M1 UTaX_8CT_M1 
HV group: 26 UTaX_CB_HV4 SenID(s)=  5 20 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_1CT_M2 UTaX_2CT_M2 
HV group: 27 UTaX_CT_HV5 SenID(s)=  41 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaX_3CT_S1 
HV group: 28 UTaX_CT_HV14 SenID(s)=  34 48 55 56 69 -1 -1 -1 -1  SenName(s)=  UTaX_3CT_M2 UTaX_4CT_M2 UTaX_4CT_S1 UTaX_4CT_S2 UTaX_5CT_S1 
HV group: 29 UTaX_CT_HV17 SenID(s)=  62 76 83 97 -1 -1 -1 -1 -1  SenName(s)=  UTaX_5CT_M2 UTaX_6CT_M2 UTaX_6CT_S1 UTaX_7CT_S1 
