chip_name,chipID,UTID,layer,stave,side,tb,module,face,asic,hybrid,asic_device,dcb_device,sol40_device,sol40_name,gbtx_device,tell40_device,tell40_link,pcie40_name,flavour,source_id,maraton_alias,maraton_rcm,maraton_channel,lvr_device,lvr_channel,caen_crate,caen_channel,hv_partition,sensor_polarity,chipRID,fstripR,mstripR,lstripR,Rchip,xflip,ym,xm,xc,salt,OLDsalt,OLDchipID,dpChip_mapping_ut,ASIC_index_mut,dpGBTx_mut,GBTx_frames_mut,TELL40_mut,Flavour_mut,TELL4_ link_mut,PCIe40_link_mut,Block_mut,lane,ASIC_mut,ASIC_ID_mut,Tell40_incon
UTaX_1CB_S4.Chip0,0,4194304,0,0,0,0,0,0,0,UTaX_1CB_S4,UTaX_1CB_S4.Chip0,UTa_CB1_DCB1,UTSOL40:utsol40_03/Link01,UTSOL013,UTa_CB1_DCB1.DataGbt_4,uctell40_161_0,3,UCTEL161,4x3,0x3005,MARATON_IP_CB_1_1V2,ucmatn05,CB2/U5,UTa_CB3P4_LVR37_1V2,7,uccaen01,10.01,17,-1,1944,248832,248896,248959,532.355,1,-5.5,-0.5,-0.875,0,0,0,UTaX_1CB_S4.Chip0,0,UTa_CB1_DCB1.DataGbt_4,0-1-2,uctell40_161_0,4x3,3,3,12,3,0,0,0
UTaX_1CB_S4.Chip1,1,4194432,0,0,0,0,0,0,1,UTaX_1CB_S4,UTaX_1CB_S4.Chip1,UTa_CB1_DCB1,UTSOL40:utsol40_03/Link01,UTSOL013,UTa_CB1_DCB1.DataGbt_4,uctell40_161_0,3,UCTEL161,4x3,0x3005,MARATON_IP_CB_1_1V2,ucmatn05,CB2/U5,UTa_CB3P4_LVR37_1V2,7,uccaen01,10.01,17,-1,1914,244992,245056,245119,529.145,1,-5.5,-0.5,-0.625,0,0,1,UTaX_1CB_S4.Chip1,1,UTa_CB1_DCB1.DataGbt_4,3/4/2005,uctell40_161_0,4x3,3,3,13,3,1,1,0
UTaX_1CB_S4.Chip2,2,4194560,0,0,0,0,0,0,2,UTaX_1CB_S4,UTaX_1CB_S4.Chip2,UTa_CB1_DCB1,UTSOL40:utsol40_03/Link01,UTSOL013,UTa_CB1_DCB1.DataGbt_4,uctell40_161_0,3,UCTEL161,4x3,0x3005,MARATON_IP_CB_1_1V2,ucmatn05,CB2/U5,UTa_CB3P4_LVR37_1V2,7,uccaen01,10.01,17,-1,1893,242304,242368,242431,527.009,1,-5.5,-0.5,-0.375,0,0,2,UTaX_1CB_S4.Chip2,2,UTa_CB1_DCB1.DataGbt_4,6/7/2008,uctell40_161_0,4x3,3,3,14,3,2,2,0
UTaX_1CB_S4.Chip3,3,4194688,0,0,0,0,0,0,3,UTaX_1CB_S4,UTaX_1CB_S4.Chip3,UTa_CB1_DCB1,UTSOL40:utsol40_03/Link01,UTSOL013,UTa_CB1_DCB1.DataGbt_4,uctell40_161_0,3,UCTEL161,4x3,0x3005,MARATON_IP_CB_1_1V2,ucmatn05,CB2/U5,UTa_CB3P4_LVR37_1V2,7,uccaen01,10.01,17,-1,1876,240128,240192,240255,525.961,1,-5.5,-0.5,-0.125,0,0,3,UTaX_1CB_S4.Chip3,3,UTa_CB1_DCB1.DataGbt_4,9/10/2011,uctell40_161_0,4x3,3,3,15,3,3,3,0
UTaX_1CB_S3.Chip0,4,4195328,0,0,0,0,1,0,0,UTaX_1CB_S3,UTaX_1CB_S3.Chip0,UTa_CB1_DCB1,UTSOL40:utsol40_03/Link01,UTSOL013,UTa_CB1_DCB1.DataGbt_3,uctell40_161_0,1,UCTEL161,4x3,0x3005,MARATON_IP_CB_2_1V2,ucmatn04,CB1/U5,UTa_CB4P16_LVR39_1V2,3,uccaen01,10.007,14,-1,1038,132864,132928,132991,344.806,1,-3.5,-0.5,-0.875,1,1,4,UTaX_1CB_S3.Chip0,0,UTa_CB1_DCB1.DataGbt_3,0-1-2,uctell40_161_0,4x3,1,1,4,1,0,0,0
UTaX_1CB_S3.Chip1,5,4195456,0,0,0,0,1,0,1,UTaX_1CB_S3,UTaX_1CB_S3.Chip1,UTa_CB1_DCB1,UTSOL40:utsol40_03/Link01,UTSOL013,UTa_CB1_DCB1.DataGbt_3,uctell40_161_0,1,UCTEL161,4x3,0x3005,MARATON_IP_CB_2_1V2,ucmatn04,CB1/U5,UTa_CB4P16_LVR39_1V2,3,uccaen01,10.007,14,-1,1010,129280,129344,129407,339.831,1,-3.5,-0.5,-0.625,1,1,5,UTaX_1CB_S3.Chip1,1,UTa_CB1_DCB1.DataGbt_3,3/4/2005,uctell40_161_0,4x3,1,1,5,1,1,1,0
UTaX_1CB_S3.Chip2,6,4195584,0,0,0,0,1,0,2,UTaX_1CB_S3,UTaX_1CB_S3.Chip2,UTa_CB1_DCB1,UTSOL40:utsol40_03/Link01,UTSOL013,UTa_CB1_DCB1.DataGbt_3,uctell40_161_0,1,UCTEL161,4x3,0x3005,MARATON_IP_CB_2_1V2,ucmatn04,CB1/U5,UTa_CB4P16_LVR39_1V2,3,uccaen01,10.007,14,-1,988,126464,126528,126591,336.496,1,-3.5,-0.5,-0.375,1,1,6,UTaX_1CB_S3.Chip2,2,UTa_CB1_DCB1.DataGbt_3,6/7/2008,uctell40_161_0,4x3,1,1,6,1,2,2,0
UTaX_1CB_S3.Chip3,7,4195712,0,0,0,0,1,0,3,UTaX_1CB_S3,UTaX_1CB_S3.Chip3,UTa_CB1_DCB1,UTSOL40:utsol40_03/Link01,UTSOL013,UTa_CB1_DCB1.DataGbt_3,uctell40_161_0,1,UCTEL161,4x3,0x3005,MARATON_IP_CB_2_1V2,ucmatn04,CB1/U5,UTa_CB4P16_LVR39_1V2,3,uccaen01,10.007,14,-1,972,124416,124480,124543,334.853,1,-3.5,-0.5,-0.125,1,1,7,UTaX_1CB_S3.Chip3,3,UTa_CB1_DCB1.DataGbt_3,9/10/2011,uctell40_161_0,4x3,1,1,7,1,3,3,0
UTaX_1CB_S2W.Chip0,8,4196352,0,0,0,0,2,0,0,UTaX_1CB_S2W,UTaX_1CB_S2W.Chip0,UTa_CB1_DCB2,UTSOL40:utsol40_03/Link02,UTSOL013,UTa_CB1_DCB2.DataGbt_4,uctell40_183_0,4,UCTEL183,2x4,0x3003,MARATON_IP_CB_4_1V2,ucmatn04,CB1/U7,UTa_CB4P8_LVR43_1V2,1,uccaen01,11.002,3,1,464,59392,59456,59519,168.761,1,-1.5,-0.5,-0.9375,1,1,12,UTaX_1CB_S2W.Chip0,0,UTa_CB1_DCB2.DataGbt_4,3-4-5-6,uctell40_183_0,2x4,4,4,8,4,0,0,0
UTaX_1CB_S2W.Chip1,9,4196480,0,0,0,0,2,0,1,UTaX_1CB_S2W,UTaX_1CB_S2W.Chip1,UTa_CB1_DCB2,UTSOL40:utsol40_03/Link02,UTSOL013,UTa_CB1_DCB2.DataGbt_4,uctell40_183_0,4,UCTEL183,2x4,0x3003,MARATON_IP_CB_4_1V2,ucmatn04,CB1/U7,UTa_CB4P8_LVR43_1V2,1,uccaen01,11.002,3,1,432,55296,55360,55423,162.775,1,-1.5,-0.5,-0.8125,1,1,13,UTaX_1CB_S2W.Chip1,1,UTa_CB1_DCB2.DataGbt_4,8-9-10-11,uctell40_183_0,2x4,4,4,9,4,1,1,0
